,Unnamed: 0,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178
0,1,1.0,천안시청,2.0,천안시청 서북구보건소,3.0,불당동일하이빌,4.0,불당대동다숲,5.0,불당한성아파트,6.0,천안교육지원청,7.0,충남북부상공회의소,8.0,패션1광장,9.0,펜타포트,10.0,서당골,11.0,갤러리아백화점,12.0,불당동문화카페거리,13.0,월봉중학교,14.0,한화꿈에그린아파트,15.0,쌍용도서관,16.0,월봉벽산아파트,17.0,월봉5차현대아파트,18.0,쌍용고입구,19.0,삼일원앙아파트,20.0,쌍용역해누리아이파크,21.0,쌍용고가교,22.0,쌍용동 이마트,23.0,충무병원,24.0,다가동신성아파트YWCA,25.0,일봉초등학교,26.0,남부오거리,27.0,우성VIP 아파트,28.0,천안여중입구,29.0,원성극동아파트,30.0,교보사거리,31.0,교보생명,32.0,중앙고등학교,33.0,신부경남아파트,34.0,고속터미널,35.0,가구웨딩특화거리,36.0,백석사거리,37.0,백석종합상가,38.0,백석초등학교,39.0,주공그린빌3차아파트,40.0,백석11단지,41.0,천안시청,42.0,천안시청시의회,43.0,종합운동장,44.0,벽산블루밍아파트,45.0,한국더첼,46.0,화이트스톤,47.0,한들문화센터입구,48.0,영진기계,49.0,백석농공단지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1.0,백석농공단지,2.0,화성조명,3.0,한들문화센터입구,4.0,STS,5.0,제네시스,6.0,브라운스톤아파트,7.0,벽산블루밍아파트,8.0,종합운동장,9.0,천안시청시의회,10.0,천안시청,11.0,백석호반1차아파트,12.0,백석호반2차아파트,13.0,백석초등학교,14.0,백석종합상가,15.0,백석현대아파트,16.0,백석사거리,17.0,가구웨딩특화거리,18.0,우방아이유셀아파트,19.0,종합터미널,20.0,신부경남아파트,21.0,천안중학교,22.0,교보생명,23.0,교보사거리,24.0,원성극동아파트,25.0,천안여중입구,26.0,우성VIP 아파트,27.0,남부오거리,28.0,일봉초등학교,29.0,다가동신성아파트,30.0,충무병원,31.0,쌍용동 이마트,32.0,이화여성병원,33.0,쌍용역예일병원계룡아파트,34.0,쌍용고입구,35.0,월봉대우아파트,36.0,월봉벽산아파트,37.0,불당 한성아파트,38.0,월봉고등학교,39.0,갤러리아백화점,40.0,불당시티프라디움3차,41.0,아산패션1광장,42.0,충남북부상공회의소,43.0,천안교육지원청,44.0,불당한성아파트,45.0,불당동행정복지센터,46.0,불당동일하이빌,47.0,천안시청 서북구보건소,48.0,천안시청,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,1.0,천안시청,2.0,천안시청시의회,3.0,불당상업지구입구,4.0,서울대정병원,5.0,불당현대아이파크,6.0,마디손병원,7.0,와이시티,8.0,패션2광장,9.0,충남북부상공회의소,10.0,천안교육지원청,11.0,한화꿈에그린아파트,12.0,월봉청솔아파트,13.0,용암마을,14.0,쌍용한라동백아파트,15.0,쌍용동사거리,16.0,충무병원,17.0,다가동신성아파트YWCA,18.0,일봉초등학교,19.0,남부오거리,20.0,농협원성점,21.0,청과시장,22.0,버들육거리,23.0,동남구보건소,24.0,천안역,25.0,삼도상가,26.0,복자여자중고등학교,27.0,방죽안오거리,28.0,종합터미널,29.0,대림한숲아파트,30.0,대림한내아파트,31.0,역말오거리,32.0,이안아파트 코아루아파트,33.0,두정역푸르지오,34.0,두정역,35.0,두정대우1차아파트,36.0,두정대림아파트,37.0,두정도서관,38.0,두정고등학교,39.0,두정대우5차아파트,40.0,두정세광아파트,41.0,두정부경아파트,42.0,한방병원,43.0,백석그린빌아파트,44.0,백석11단지,45.0,천안시청,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,1.0,천안시청,2.0,백석11단지,3.0,백석그린빌아파트,4.0,두정부경아파트,5.0,두정세광아파트,6.0,두정대우5차아파트,7.0,두정도서관,8.0,펜타폴리스 2차,9.0,두정대우1차아파트,10.0,두정역,11.0,두정역입구,12.0,이안아파트 코아루아파트,13.0,역말오거리,14.0,대림한내아파트,15.0,대림한숲아파트,16.0,종합터미널,17.0,방죽안오거리,18.0,복자여자중고등학교,19.0,삼도상가,20.0,천안역,21.0,동남구보건소,22.0,버들육거리,23.0,청과시장,24.0,농협원성점,25.0,남부오거리,26.0,일봉초등학교,27.0,다가동신성아파트,28.0,충무병원,29.0,쌍용동사거리,30.0,쌍용초등학교,31.0,용암마을,32.0,불당 한성아파트,33.0,천안교육지원청,34.0,충남북부상공회의소,35.0,패션2광장,36.0,와이시티,37.0,불당현대아이파크,38.0,불당상업지구입구,39.0,천안시청시의회,40.0,천안시청,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,100,1.0,신부경남아파트,2.0,천안중학교,3.0,교보생명,4.0,교보사거리,5.0,원성극동아파트,6.0,천안여중입구,7.0,우성VIP 아파트,8.0,농협원성점,9.0,청과시장,10.0,버들육거리,11.0,동남구보건소,12.0,천안역,13.0,삼도상가,14.0,복자여자중고등학교,15.0,방죽안오거리,16.0,신부청광아파트,17.0,동아태조아파트,18.0,역말오거리,19.0,이안아파트 코아루아파트,20.0,두정역입구,21.0,두정역마을,22.0,부성1동행정복지센터,23.0,공주대공과대학,24.0,천안상업고등학교,25.0,"메가마트, 농수산물도매시장",26.0,신당동,27.0,직산역입구,28.0,직산사거리,29.0,직산농협산지유통센터,30.0,거리막,31.0,직산부영아파트,32.0,성환E-편한세상,33.0,동성중학교,34.0,매주리혜성아파트,35.0,삼풍아파트,36.0,성환리(성환터미널),37.0,성환4리,38.0,성환10리,39.0,성신초등학교,40.0,성환역,41.0,골드아파트,42.0,중앙아파트,43.0,천안배원예농협,44.0,성환문화회관,45.0,남서울대학교,46.0,남서울대학교 주차장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,100,1.0,남서울대학교 주차장,2.0,남서울대학교,3.0,성환문화회관,4.0,천안배원예농협,5.0,삼풍아파트,6.0,골드아파트,7.0,성환역,8.0,성신초등학교,9.0,성환10리,10.0,성환4리,11.0,성환터미널,12.0,삼풍아파트,13.0,매주1리,14.0,동성중학교,15.0,성환e편한세상,16.0,직산부영아파트,17.0,삼은6리,18.0,직산사거리,19.0,직산역입구,20.0,신당동,21.0,농산물도매시장,22.0,천안상업고등학교(e편한세상천안부성아파트),23.0,공주대공과대학,24.0,부성1동행정복지센터,25.0,두정역마을,26.0,두정역 푸르지오,27.0,두정역입구,28.0,이안아파트 코아루아파트,29.0,역말오거리,30.0,신부우방아파트,31.0,신부청광아파트,32.0,방죽안오거리,33.0,복자여자중고등학교,34.0,삼도상가,35.0,천안역,36.0,동남구보건소,37.0,버들육거리,38.0,청과시장,39.0,농협원성점,40.0,우성VIP 아파트,41.0,천안여중입구,42.0,원성극동아파트,43.0,교보사거리,44.0,교보생명,45.0,중앙고등학교,46.0,신부경남아파트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,101,1.0,천안시청,2.0,백석11단지,3.0,백석아이파크2차아파트,4.0,백석이수아파트입구,5.0,산업단지공단입구,6.0,번영로가구타운,7.0,2공단입구,8.0,서북경찰서,9.0,원네스아파트,10.0,업성고교,11.0,업성초교,12.0,서북경찰서,13.0,업성초등학교,14.0,신당동,15.0,직산역입구,16.0,직산읍행정복지센터,17.0,서북구청,18.0,직산한도아파트,19.0,직산메르디앙아파트,20.0,충남테크노파크,21.0,충남테크노파크 번영관,22.0,남산리 대덕가스,23.0,군서2리,24.0,군동2리,25.0,군서1리,26.0,성월사입구,27.0,포스코SPS,28.0,직산청호아파트,29.0,직산부영아파트,30.0,성환부영아파트,31.0,천안배원예농협,32.0,삼풍아파트,33.0,골드아파트,34.0,성환역,35.0,성신초등학교,36.0,성환10리,37.0,성환4리,38.0,성환리(성환터미널),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,101,1.0,성환리(성환터미널),2.0,삼풍아파트,3.0,중앙아파트,4.0,천안배원예농협,5.0,성환부영아파트,6.0,직산부영아파트,7.0,직산청호아파트,8.0,포스코SPS,9.0,성월사입구,10.0,군서1리,11.0,군동2리,12.0,군서2리,13.0,남산리(대덕가스),14.0,충남테크노파크,15.0,직산메르디앙아파트,16.0,한도아파트,17.0,서북구청,18.0,직산읍행정복지센터,19.0,직산사거리,20.0,직산역입구,21.0,신당동,22.0,업성초교,23.0,업성고교,24.0,원네스아파트,25.0,서북경찰서,26.0,번영로공구상가,27.0,2공단입구,28.0,번영로가구타운,29.0,삼성SDI,30.0,산업단지공단입구,31.0,백석이수아파트입구,32.0,백석아이파크2차아파트,33.0,백석11단지,34.0,천안시청,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,103,1.0,성환리(성환터미널),2.0,삼풍아파트,3.0,중앙아파트,4.0,천안배원예농협,5.0,성환부영아파트,6.0,시름세삼거리,7.0,상덕2리,8.0,상덕2리,9.0,시름세삼거리,10.0,직산부영아파트,11.0,직산청호아파트,12.0,포스코SPS,13.0,성월사입구,14.0,군서1리,15.0,군동2리,16.0,군서2리,17.0,남산리(대덕가스),18.0,충남테크노파크,19.0,직산메르디앙아파트,20.0,한도아파트,21.0,서북구청,22.0,직산읍행정복지센터,23.0,직산사거리,24.0,직산역입구,25.0,신당동,26.0,업성동입구,27.0,서북경찰서,28.0,번영로공구상가,29.0,2공단입구,30.0,번영로가구타운,31.0,삼성SDI,32.0,산업단지공단입구,33.0,백석이수아파트입구,34.0,백석아이파크2차아파트,35.0,백석11단지,36.0,천안시청,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,103,1.0,천안시청,2.0,백석11단지,3.0,백석아이파크2차아파트,4.0,백석이수아파트입구,5.0,산업단지공단입구,6.0,번영로가구타운,7.0,2공단입구,8.0,서북경찰서,9.0,업성초등학교,10.0,신당동,11.0,직산역입구,12.0,직산읍행정복지센터,13.0,서북구청,14.0,직산한도아파트,15.0,직산메르디앙아파트,16.0,충남테크노파크,17.0,충남테크노파크 번영관,18.0,남산리 대덕가스,19.0,군서2리,20.0,군동2리,21.0,군서1리,22.0,성월사입구,23.0,포스코SPS,24.0,직산청호아파트,25.0,직산부영아파트,26.0,시름세삼거리,27.0,상덕2리,28.0,상덕2리,29.0,시름세삼거리,30.0,성환부영아파트,31.0,천안배원예농협,32.0,삼풍아파트,33.0,골드아파트,34.0,성환역,35.0,성신초등학교,36.0,성환10리,37.0,성환4리,38.0,성환리(성환터미널),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
